Numero,Estado,Tiempo de Ejecución (us)
2658645617,OK,588
3758347007,OK,846
2474301457,OK,495
1356830149,OK,478
3610153619,OK,848
3778929629,OK,910
4031206951,OK,903
3925613317,OK,942
3766938431,OK,1109
2280114329,OK,614
3375869789,OK,709
1976534167,OK,734
4162975777,OK,1114
4008069199,OK,1185
3757796993,OK,917
2800345693,OK,680
3046087171,OK,664
3744013589,OK,794
2958079331,OK,662
3009578419,OK,698
3347117797,OK,1057
2833262009,OK,911
3888506821,OK,1050
1915262047,OK,470
4032513319,OK,960
2117273527,OK,465
3958598071,OK,895
1201174939,OK,373
3606965003,OK,737
4181030587,OK,834
4165466183,OK,761
3057252049,OK,697
3237069041,OK,797
2915480599,OK,796
4028716283,OK,1042
2125574929,OK,486
3101737649,OK,745
3693840049,OK,857
4270618531,OK,926
3251487181,OK,678
3272721169,OK,755
3922566191,OK,822
2609368123,OK,727
2916210233,OK,568
2212332509,OK,393
2403307327,OK,427
4111865081,OK,1037
4177131769,OK,849
3349530533,OK,624
3108456833,OK,598
3588000799,OK,756
2039300209,OK,494
3760709671,OK,773
4262862697,OK,1267
4037275811,OK,966
2937661777,OK,702
2025695297,OK,551
3817857649,OK,745
3244041557,OK,694
2269611847,OK,476
1668044857,OK,387
3919436263,OK,777
4116270671,OK,876
3420750901,OK,776
4017957841,OK,1281
3461320879,OK,806
1694650549,OK,484
4073837387,OK,995
3719291119,OK,923
2967845893,OK,647
1907680409,OK,446
3044198231,OK,632
2209120163,OK,419
4145112107,OK,956
4230609961,OK,1452
1951698631,OK,586
4262337613,OK,1112
3907797997,OK,891
2937516787,OK,632
2569012223,OK,608
3237139291,OK,601
3162750083,OK,572
2474385677,OK,494
2927572589,OK,615
2802830731,OK,638
1932009061,OK,383
3428545919,OK,653
2023119023,OK,465
2222160823,OK,566
3280323461,OK,578
2551412389,OK,615
3786140999,OK,735
2943688129,OK,610
3918038801,OK,796
2193681653,OK,453
3873673571,OK,760
3798904537,OK,737
4092376139,OK,1630
1915178633,OK,564
4269807007,OK,1549
3737553643,OK,1077
3807275113,OK,1144
2194823167,OK,419
3611585333,OK,930
3200043559,OK,836
2152642097,OK,556
3660436519,OK,1057
3910821139,OK,991
2213507941,OK,447
3555500407,OK,925
3482522629,OK,943
4168611959,OK,1188
1720665019,OK,628
1335383453,OK,527
3904131689,OK,1160
3697294807,OK,779
4177131769,OK,826
4132094299,OK,996
3151762969,OK,667
2357018953,OK,538
1730823109,OK,462
3914220263,OK,966
3689147699,OK,1205
2529140987,OK,536
2889646873,OK,655
2835831601,OK,656
4197687931,OK,959
4211860231,OK,825
2889792559,OK,618
4032891007,OK,835
3966200873,OK,772
4089499423,OK,797
4052585399,OK,861
3124865741,OK,948
4040980897,OK,898
3966200873,OK,916
1759940411,OK,542
3994500749,OK,846
2214560767,OK,425
4230201431,OK,1051
4079138201,OK,976
2156164771,OK,358
3213622001,OK,596
3292835939,OK,727
3919379341,OK,746
4271010253,OK,761
2967047549,OK,769
1937314091,OK,421
4237687957,OK,837
3994702183,OK,870
3947328331,OK,810
2448343663,OK,490
3838103453,OK,733
3300315331,OK,628
4022595523,OK,1031
2628899083,OK,638
4252564543,OK,977
2505382163,OK,687
3406587931,OK,1064
4236524059,OK,816
3774472441,OK,663
3746363921,OK,728
3772171471,OK,767
3650571283,OK,1691
2897782373,OK,792
4037879077,OK,977
2260270487,OK,678
3259348321,OK,908
1833219961,OK,537
3063199861,OK,769
2131733719,OK,484
3284648903,OK,759
3961252891,OK,1107
3280159313,OK,1081
3905116981,OK,1159
4206637271,OK,993
2935698929,OK,651
3346735897,OK,701
4030101223,OK,750
1992403339,OK,401
3525668903,OK,789
3095651473,OK,654
3725010881,OK,679
2633223469,OK,439
3359623231,OK,567
3195637559,OK,568
4043829511,OK,754
4164198953,OK,774
3860051051,OK,754
3748998653,OK,690
4050162481,OK,724
3237327089,OK,548
4077062279,OK,748
3025330337,OK,604
3776463109,OK,772
3293075707,OK,1098
4283039561,OK,1153
4226865887,OK,1016
2128491377,OK,444
4272057617,OK,861
2443741759,OK,443
3269458151,OK,735
4038853223,OK,850
2866885397,OK,576
4277932067,OK,773
2794852909,OK,494
4219988869,OK,765
3818906527,OK,748
2668481527,OK,556
1158620609,OK,421
3461290939,OK,624
3140386631,OK,576
3981177169,OK,745
3596557429,OK,702
3252785633,OK,626
3611775469,OK,722
2216210539,OK,442
3992948681,OK,1191
3451024001,OK,757
3502323161,OK,739
4224861677,OK,796
2863575389,OK,639
2118802523,OK,645
3330482929,OK,668
3885098897,OK,948
2233224437,OK,404
3199695713,OK,572
1670241799,OK,358
3430084663,OK,613
3173231821,OK,574
3490959379,OK,619
3824935931,OK,698
3191285723,OK,700
2896893257,OK,550
2926729361,OK,547
3694377433,OK,683
3764191273,OK,693
3883270957,OK,724
2243668621,OK,371
2726624899,OK,802
1983067439,OK,572
4214471711,OK,1326
4035965071,OK,872
2175252979,OK,514
4017771253,OK,1151
4017097813,OK,971
3261850003,OK,862
2560455973,OK,647
2650043293,OK,588
2274020191,OK,522
3315095461,OK,863
4035551587,OK,971
3041947541,OK,807
3284008837,OK,745
2287044689,OK,466
2043286711,OK,459
4083081649,OK,756
2821721543,OK,577
2208405389,OK,398
3774698737,OK,844
3466224721,OK,1487
4162975777,OK,876
3181100443,OK,1562
3757381457,OK,1602
4162975777,OK,1528
4160232379,OK,1520
3919492853,OK,1351
4046375699,OK,921
1922509663,OK,421
3109066139,OK,569
3789013909,OK,720
2406706691,OK,428
4000396013,OK,727
2208117187,OK,377
4285925173,OK,783
3145210403,OK,579
3807359789,OK,814
3473072539,OK,971
1802636347,OK,499
3760446383,OK,810
3703305071,OK,846
3596626367,OK,830
3144338663,OK,594
4229357147,OK,818
3224547463,OK,662
3527512133,OK,704
4260504013,OK,852
3805967923,OK,687
2251328227,OK,403
3220815797,OK,607
3761946569,OK,707
2595865417,OK,614
3475586393,OK,630
2743566031,OK,560
3825086743,OK,658
3238117633,OK,668
2948179747,OK,670
3045816877,OK,666
3892040863,OK,866
2786572583,OK,893
4188273059,OK,922
3941743081,OK,932
4041526133,OK,835
3913518041,OK,772
3170090227,OK,609
2548687871,OK,457
1934568541,OK,401
4019449747,OK,883
2090605021,OK,432
4280155933,OK,908
4021875061,OK,848
3753684367,OK,763
1969749451,OK,420
3594168629,OK,830
3990310169,OK,859
4275320347,OK,1002
2341947599,OK,477
2162180833,OK,784
2941570301,OK,887
4043419771,OK,1163
3275360329,OK,1190
3744825023,OK,1096
2588420033,OK,727
4114801879,OK,1234
2082154859,OK,524
3774131279,OK,812
3379173367,OK,773
3105208597,OK,662
1111962017,OK,461
3991763861,OK,906
3195387509,OK,668
4237614509,OK,805
4233937619,OK,861
3143614037,OK,755
3722150569,OK,712
3540990419,OK,683
4014087067,OK,735
3524718661,OK,669
4247115211,OK,1712
3789013909,OK,1250
4066458457,OK,1106
4161140741,OK,1160
4286318299,OK,1156
4278714119,OK,1153
4049337233,OK,1127
3969034613,OK,1027
2796704231,OK,804
3773959919,OK,894
4136991751,OK,1013
4278714119,OK,1081
3960558031,OK,1021
2198032987,OK,438
2457842791,OK,490
2121613519,OK,416
3388330013,OK,695
4212128527,OK,978
3681415267,OK,1145
3999024611,OK,1149
3564406073,OK,1061
4146984749,OK,992
3151738517,OK,783
3262825231,OK,973
4020871697,OK,988
4114801879,OK,1043
3935357513,OK,1027
3551933089,OK,957
4075018679,OK,1048
3752146681,OK,1013
3887802157,OK,880
2085639433,OK,418
3841574179,OK,839
4012734881,OK,954
3826823831,OK,1100
4030821761,OK,1254
3586116503,OK,998
4001492609,OK,971
3643763117,OK,889
4236313969,OK,1063
2949560683,OK,787
4281073451,OK,1058
1749649849,OK,474
3007614859,OK,849
3820990403,OK,956
1272423253,OK,474
1940593309,OK,467
3442417123,OK,900
2646273569,OK,538
4028100631,OK,758
3507983513,OK,768
3936301409,OK,895
4012360981,OK,846
3225927751,OK,600
1881694967,OK,361
3756875803,OK,748
4114414561,OK,827
1755790823,OK,432
2155199443,OK,394
3140768149,OK,595
3745965833,OK,714
3608587429,OK,653
3922699537,OK,792
4088394671,OK,772
2372146313,OK,635
3872493539,OK,923
3625894751,OK,882
3616999013,OK,921
2489459041,OK,741
2034365513,OK,462
2578771649,OK,582
3612883949,OK,929
2799663001,OK,794
3339105437,OK,942
3583453187,OK,1106
2394722641,OK,624
4161832399,OK,1179
2381790043,OK,562
4145659213,OK,1080
2634376447,OK,532
3312727667,OK,640
3963561853,OK,804
3144254831,OK,673
3379860139,OK,746
2617449407,OK,645
1731877643,OK,441
3041915221,OK,577
3543839323,OK,722
3724121017,OK,685
4031770703,OK,729
3770209081,OK,755
3388322417,OK,616
4105598779,OK,803
2219554061,OK,419
3510751553,OK,805
2079712853,OK,577
4012360981,OK,896
4026994297,OK,1073
3247948183,OK,713
3576122549,OK,848
4010526929,OK,835
4128886297,OK,797
3373319597,OK,664
1872793519,OK,422
1966005269,OK,386
4263378461,OK,826
1924599361,OK,511
3641307259,OK,889
3377970097,OK,692
2956854599,OK,656
4290249559,OK,854
3139017779,OK,632
3247161739,OK,627
3859840423,OK,805
2384825893,OK,521
2222351981,OK,483
3658733363,OK,1259
1733903341,OK,487
3336220529,OK,803
2768457343,OK,777
3559543787,OK,815
1669247521,OK,418
2536933499,OK,701
3047928209,OK,645
2830819961,OK,664
2809229497,OK,703
2099921077,OK,433
3264144203,OK,1121
2597262683,OK,768
2139520277,OK,439
3156170153,OK,810
3422025157,OK,861
1365451069,OK,419
2614270691,OK,519
3051344383,OK,686
4076257973,OK,915
3027354931,OK,718
1851375563,OK,728
3084400607,OK,1179
4246848343,OK,1288
3103667011,OK,662
4149957787,OK,869
4162958417,OK,787
4257902933,OK,792
2986084523,OK,612
4020569321,OK,763
3930497387,OK,834
3336902501,OK,671
2367187129,OK,397
3317476243,OK,707
4226865887,OK,766
3194666243,OK,580
1646159653,OK,360
3136440337,OK,577
3184284353,OK,628
3055269403,OK,589
4154621089,OK,780
3599754583,OK,748
3086838863,OK,924
4278714119,OK,1667
4110677251,OK,1521
4096024643,OK,1164
3545852491,OK,987
3052134257,OK,787
4129109069,OK,1024
2113606427,OK,522
2723281013,OK,746
3566487917,OK,949
2819170271,OK,768
3501999533,OK,757
3177492319,OK,584
3624042869,OK,743
3553290661,OK,735
3915792833,OK,827
